filepaths,labels,data set,scientific name,order
train/AFRICAN FIREFINCH/027.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/002.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/003.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/004.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/005.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/006.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/007.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/008.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/009.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/010.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/033.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/016.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/023.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/022.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/014.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/021.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/017.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/031.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/048.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/047.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/034.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/030.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/029.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/001.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/012.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/013.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/020.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/019.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/042.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/041.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/018.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/011.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/028.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/040.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/035.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/015.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/045.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/032.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
