Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status
1983-05-17,CABO ROJO,,Non-Fatal,Substantial,,Piper,PA-23-250,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,UNK,Landing,Probable Cause
1983-06-10,SAN JUAN,Puerto Rico,Non-Fatal,,,Boeing,727-200,No,3.0,Turbo Fan,Unknown,0.0,1.0,6.0,145.0,VMC,Standing,Probable Cause
1983-06-12,HIGH ISLAND 582,HIGH ISLAND,Incident,,,Aerospatiale,AS 355 F,No,2.0,Turbo Shaft,Unknown,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause
1983-06-16,EUGENE ISL.BLK,,Fatal(3),Destroyed,,Bell,206B III,No,1.0,Turbo Shaft,Unknown,3.0,0.0,0.0,0.0,VMC,Unknown,Probable Cause
1983-06-26,VIEQUES,,Non-Fatal,Substantial,,Cessna,172K,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause
1983-07-11,EUGENE ISLAND,,Non-Fatal,Substantial,,Bell,212,No,2.0,Turbo Shaft,Unknown,0.0,0.0,0.0,3.0,VMC,Maneuvering,Probable Cause
1983-08-04,,Pakistan,Non-Fatal,Substantial,,Boeing,747-121,No,4.0,Unknown,Unknown,0.0,0.0,0.0,245.0,UNK,,Foreign
1983-08-04,GRAND ISLE BLK,,Non-Fatal,Substantial,,Bell,206B,No,1.0,Turbo Shaft,Business,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause
1983-08-15,ST. THOMAS,,Incident,Minor,,Casa,212-200 (CASA 212),No,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,15.0,VMC,Landing,Probable Cause
1983-08-17,VIEQUES,,Non-Fatal,Substantial,,Beech,A100,No,2.0,Turbo Prop,Personal,0.0,0.0,0.0,11.0,VMC,Takeoff,Probable Cause
1983-08-20,MANATI,,Non-Fatal,Substantial,,Cessna,172N,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause
1983-08-28,"ANGOLA/DUNDO, Angola",Angola,Fatal(7),Destroyed,,Lockheed,382G,No,4.0,Turbo Prop,Unknown,7.0,0.0,0.0,0.0,UNK,,Foreign
1983-08-30,DORADO,,Non-Fatal,Substantial,,Cessna,150H,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Descent,Probable Cause
1983-09-05,QUEBRADILLAS,,Non-Fatal,Destroyed,,Piper,PA-25-260,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Takeoff,Probable Cause
1983-09-06,GREEN CANYON172,,Non-Fatal,,,British Aircraft Corp. (bac),BAC 1-11,No,2.0,Turbo Jet,Unknown,0.0,1.0,2.0,68.0,VMC,Cruise,Probable Cause
1983-09-10,STAKE ISLAND,,Non-Fatal,Substantial,,Cessna,180A,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Cruise,Probable Cause
1983-09-12,CULEBRA ISLAND,,Non-Fatal,Substantial,,Cessna,C-150,No,1.0,Reciprocating,Instructional,0.0,0.0,1.0,0.0,VMC,Cruise,Probable Cause
1983-10-09,GULF OF MEXICO,GULF OF MEXICO,Fatal(1),Destroyed,,Piper,PA-34-200,No,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Unknown,Probable Cause
1983-10-11,"FRANKFORT, GERMANY",Germany,Non-Fatal,Substantial,,Boeing,747-200F,No,4.0,Unknown,,0.0,0.0,0.0,5.0,UNK,,Foreign
1983-10-12,ATLANTIC OCEAN,ATLANTIC OCEAN,Incident,,,Mcdonnell Douglas,DC-10-10,No,3.0,Turbo Fan,Unknown,0.0,0.0,13.0,78.0,VMC,Cruise,Probable Cause
1983-10-21,GULF OF MEXICO,GULF OF MEXICO,Non-Fatal,Destroyed,,Piper,PA-23,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause
1983-12-28,VERMILLION 255B,,Non-Fatal,Minor,,Bell,206B III,No,1.0,Turbo Shaft,Unknown,0.0,1.0,0.0,2.0,IMC,Standing,Probable Cause
1984-01-01,ATLANTIC OCEAN,ATLANTIC OCEAN,Incident,,,Boeing,747-121,No,4.0,Turbo Jet,Unknown,0.0,0.0,1.0,495.0,VMC,Cruise,Probable Cause
1984-01-01,ATLANTIC OCEAN,ATLANTIC OCEAN,Incident,,,Mcdonnell Douglas,DC-10-30,No,3.0,Turbo Fan,Unknown,0.0,0.0,1.0,495.0,VMC,Cruise,Probable Cause
1984-01-12,SAN JUAN,Puerto Rico,Fatal(1),,,Hiller,UH-12C,No,1.0,Reciprocating,Unknown,1.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause
1984-03-07,GUAYAMA,,Non-Fatal,Destroyed,,Cessna,206,No,1.0,Reciprocating,Personal,,,,2.0,VMC,Cruise,Probable Cause
1984-03-09,"SEOUL, Korea, Republic Of","Korea, Republic Of",Fatal(2),Destroyed,,Cessna,150L,No,1.0,Reciprocating,Business,2.0,0.0,0.0,0.0,IMC,,Foreign
1984-03-12,W CAMRN BLK 624,,Fatal(4),Destroyed,,Bell,206L-1,No,1.0,Turbo Shaft,Unknown,4.0,1.0,0.0,0.0,IMC,Standing,Probable Cause
1984-03-15,ARECIBO,Puerto Rico,Non-Fatal,Substantial,,Cessna,U206F,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause
1984-03-23,BORINQUEN,Puerto Rico,Non-Fatal,Substantial,,Piper,PA-28-180,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Other,Probable Cause
1984-04-04,W CAMERON 540,,Fatal(4),Destroyed,,Aerospatiale,AS 355F,No,2.0,Turbo Shaft,Unknown,4.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause
1984-04-14,,Martinique,Incident,Minor,,Boeing,747-121,No,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,263.0,VMC,Climb,Probable Cause
1984-04-17,ARECIBO,Puerto Rico,Non-Fatal,Substantial,,Gulfstream-schweizer,G-164B,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause
1984-05-01,HIGH ISLAND BLK595,HIGH ISLAND,Non-Fatal,Substantial,,Sikorsky,S-76A,No,2.0,Turbo Shaft,Unknown,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause
1984-05-22,ATLANTIC OCEAN,ATLANTIC OCEAN,Fatal(1),Destroyed,,Cessna,152,No,1.0,Reciprocating,Instructional,1.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause
1984-05-24,"BAHAMAS, Bahamas",Bahamas,Incident,,,Boeing,727-35,No,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,125.0,VMC,Standing,Probable Cause
1984-05-24,SAN JUAN,Puerto Rico,Non-Fatal,Destroyed,,Cessna,182,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause
1984-06-08,SOUTH PELTO,,Non-Fatal,Substantial,,Bell,206B,No,1.0,Turbo Shaft,Unknown,0.0,0.0,4.0,0.0,VMC,Cruise,Probable Cause
1984-06-27,LOIZA,,Non-Fatal,Substantial,,Bell,206L-1,No,1.0,Turbo Shaft,Unknown,0.0,1.0,0.0,7.0,VMC,Standing,Probable Cause
1984-07-03,E BRAKE BLK 397,,Non-Fatal,Substantial,Helicopter,Bell,222UT,No,2.0,Turbo Shaft,Unknown,,,,5.0,VMC,Approach,Probable Cause
1984-07-04,ST. CROIX,,Fatal(2),Destroyed,,Cessna,172M,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause
1984-07-18,OCEAN CAY,,Non-Fatal,Destroyed,,Cessna,172N,No,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,Cruise,Probable Cause
1984-07-21,"TAU, AMERICAN SAMOA",American Samoa,Fatal(1),Substantial,,De Havilland,DHC-6-300,No,2.0,Turbo Prop,Unknown,1.0,7.0,8.0,0.0,VMC,Approach,Probable Cause
1984-07-21,HIGH ISLAND BLK298,HIGH ISLAND,Non-Fatal,Substantial,,Bell,206L-1,No,1.0,Turbo Shaft,Unknown,0.0,0.0,1.0,3.0,VMC,Landing,Probable Cause
1984-07-25,PONCE,,Non-Fatal,Substantial,,Piper,PA-23-250,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause
1984-08-02,VIEQUES,,Fatal(9),Destroyed,,Britten-norman,BN-2A ISLANDER,No,2.0,Reciprocating,Unknown,9.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause
1984-08-05,SAN JUAN,Puerto Rico,Non-Fatal,Substantial,,Cessna,150J,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Takeoff,Probable Cause
1984-08-09,ATLANTIC OCEAN,ATLANTIC OCEAN,Non-Fatal,Destroyed,,Beech,D-55,No,2.0,Reciprocating,Personal,0.0,0.0,2.0,1.0,VMC,Cruise,Probable Cause
1984-08-12,PACIFIC OCEAN,PACIFIC OCEAN,Non-Fatal,Destroyed,,Cessna,182P,No,1.0,Reciprocating,Ferry,0.0,0.0,1.0,0.0,VMC,Cruise,Probable Cause
1984-09-02,MISSING ACFT,MISSING,Fatal(1),Destroyed,,Cessna,152,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Unknown,Probable Cause
1984-09-13,SHIP SHOAL 241,,Non-Fatal,Destroyed,,Bell,206B III,No,1.0,Turbo Shaft,Positioning,0.0,1.0,0.0,0.0,VMC,Maneuvering,Probable Cause
1984-09-15,CULEBRA,,Non-Fatal,Destroyed,,Piper,PA-28-161,No,1.0,Reciprocating,Personal,0.0,1.0,1.0,2.0,VMC,Go-around,Probable Cause
1984-09-24,"BIMINI, Bahamas",Bahamas,Non-Fatal,Destroyed,,Mooney,M20C,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Cruise,Probable Cause
1984-09-26,WEST DELTA 105,,Non-Fatal,Substantial,,Bell,206L-1,No,1.0,Turbo Shaft,Unknown,0.0,0.0,0.0,1.0,VMC,Descent,Probable Cause
1984-10-19,ST.THOMAS,,Fatal(3),Destroyed,,Hughes,369D,No,1.0,Turbo Shaft,Business,3.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause
1984-10-23,"SABLE ISLAND NS, Canada",Canada,Fatal(1),Destroyed,,De Havilland,DHC-4,No,2.0,Reciprocating,Ferry,1.0,1.0,0.0,0.0,IMC,Cruise,Probable Cause
1984-11-10,ST. THOMAS,,Fatal(2),Destroyed,,Gates Learjet,24F,No,2.0,Turbo Fan,Business,2.0,1.0,1.0,0.0,VMC,Approach,Probable Cause
1984-11-12,E CAMERON BLK 2,,Non-Fatal,Substantial,,Bell,206L-1,No,1.0,Turbo Shaft,Unknown,0.0,1.0,3.0,1.0,VMC,Takeoff,Probable Cause
1984-11-19,"NASSAU, Bahamas",Bahamas,Incident,,,Douglas,DC-8,No,1.0,Unknown,Unknown,,,,200.0,UNK,,Foreign
1984-12-13,SAN JUAN,Puerto Rico,Non-Fatal,Substantial,,Britten-norman,BN-2,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,9.0,VMC,Taxi,Probable Cause
1984-12-29,ATLANTIC OCEAN,ATLANTIC OCEAN,Non-Fatal,Destroyed,,Piper,PA-31,No,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause
1985-01-01,"LA PAZ, Bolivia",Bolivia,Fatal(29),Destroyed,,Boeing,727-225,No,3.0,Turbo Fan,Unknown,29.0,0.0,0.0,0.0,UNK,,Foreign
1985-01-18,LOIZA,,Non-Fatal,Substantial,,Bell,206L-1,No,1.0,Turbo Shaft,Unknown,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause
1985-01-25,ARECIBO,Puerto Rico,Incident,Minor,,Casa,212,No,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,16.0,VMC,Climb,Probable Cause
1985-01-28,ST. CROIX,,Non-Fatal,Substantial,,Piper,PA-23-250,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause
1985-03-20,ST. THOMAS,,Non-Fatal,Substantial,,Beech,E18S,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause
1985-03-29,"MEXICO CITY, Mexico",Mexico,Incident,Minor,,Boeing,727-200B,No,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,152.0,VMC,Takeoff,Probable Cause
1985-04-20,GULF OF MEXICO,GULF OF MEXICO,Fatal(3),Destroyed,,Sikorsky,S-58ET,No,2.0,Turbo Shaft,Positioning,3.0,0.0,0.0,0.0,VMC,Unknown,Probable Cause
1985-04-24,ST. CROIX,,Incident,Minor,,Grumman,G-73-T,No,2.0,Turbo Prop,Unknown,0.0,0.0,1.0,5.0,VMC,Takeoff,Probable Cause
1985-05-08,"GUADALUPE, DOMINICA",Dominica,Non-Fatal,Substantial,,Cessna,402C,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,8.0,VMC,,Foreign
1985-05-08,MISSING ACFT,MISSING,Fatal(1),Destroyed,,Cessna,210K,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,UNK,Unknown,Probable Cause
1985-05-28,ATLANTIC OCEAN,ATLANTIC OCEAN,Non-Fatal,,,Airbus Industrie,A-300B4-2C,No,2.0,Turbo Fan,Unknown,0.0,2.0,19.0,53.0,IMC,Cruise,Probable Cause
1985-06-22,SHIP SHOAL BLK,,Non-Fatal,Destroyed,,Bell,206L-1,No,1.0,Turbo Shaft,Unknown,0.0,0.0,1.0,1.0,VMC,Maneuvering,Probable Cause
1985-06-24,ATLANTIC OCEAN,ATLANTIC OCEAN,Non-Fatal,Destroyed,,Piper,PA-23-250,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause
1985-06-24,SAN JUAN,Puerto Rico,Incident,Minor,,Mitsubishi,MU-2K,No,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,3.0,VMC,Climb,Probable Cause
1985-06-27,SAN JUAN,Puerto Rico,Non-Fatal,Substantial,,Mcdonnell Douglas,DC-10-10,No,3.0,Turbo Fan,Unknown,0.0,3.0,29.0,238.0,VMC,Takeoff,Probable Cause
1985-06-28,EUGENE ISLAND,,Non-Fatal,Substantial,,Sikorsky,S-76,No,2.0,Turbo Shaft,Unknown,,,3.0,,VMC,Landing,Probable Cause
1985-07-12,"BAHAMAS, Bahamas",Bahamas,Fatal(4),Destroyed,,Piper,PA-32R-301,No,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,UNK,Unknown,Probable Cause
1985-07-18,SAN JUAN,Puerto Rico,Fatal(1),Substantial,,Piper,PA-32-260,No,1.0,Reciprocating,Unknown,1.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause
1985-07-21,SOUTH MARSH,,Non-Fatal,Destroyed,,Bell,206L-1,No,1.0,Turbo Shaft,Unknown,0.0,0.0,2.0,0.0,VMC,Takeoff,Probable Cause
1985-08-12,VIEQUES,,Non-Fatal,Substantial,,Cessna,177,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,IMC,Cruise,Probable Cause
1985-08-19,ST. THOMAS,,Fatal(4),Destroyed,,Cessna,172M,No,1.0,Reciprocating,Business,4.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause
1985-09-17,MISSING,MISSING,Fatal(1),Destroyed,,Swearingen,SA-226T,No,2.0,Turbo Prop,Business,1.0,0.0,0.0,0.0,VMC,Unknown,Probable Cause
1985-09-17,PACIFIC OCEAN,PACIFIC OCEAN,Non-Fatal,Destroyed,,Bell,206B,No,1.0,Turbo Shaft,Aerial Observation,0.0,1.0,1.0,0.0,VMC,Cruise,Probable Cause
1985-09-29,NORTH PADRE 967,,Non-Fatal,Destroyed,,Bell,206B,No,1.0,Turbo Shaft,Positioning,0.0,1.0,0.0,0.0,VMC,Standing,Probable Cause
1985-10-24,EAST CAMERON,,Fatal(2),Destroyed,,Bell,222UT,No,2.0,Turbo Shaft,Unknown,2.0,7.0,0.0,0.0,VMC,Landing,Probable Cause
1985-10-28,ST. THOMAS,,Incident,Minor,,Cessna,402B,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,8.0,VMC,Taxi,Probable Cause
1985-10-31,GULF OF MEXICO,GULF OF MEXICO,Fatal(1),Destroyed,,Piper,PA-34-200T,No,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Unknown,Probable Cause
1985-11-26,"CAT CAY, BAHAMAS",Bahamas,Non-Fatal,Substantial,,Grumman,G-73,No,2.0,Reciprocating,Unknown,0.0,1.0,1.0,10.0,VMC,,Foreign
1985-11-27,DORADO,,Non-Fatal,Substantial,,Piper,PA-23-160,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause
1985-12-12,"GANDER, Canada",Canada,Fatal(256),Destroyed,,Douglas,DC-8-63,No,4.0,Turbo Jet,Unknown,256.0,0.0,0.0,0.0,IMC,,Foreign
1986-01-03,"ST. MAARTEN, Netherlands Antilles",Netherlands Antilles,Non-Fatal,Destroyed,,Cessna,T210N,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,Foreign
1986-01-05,GRAND ISLE BL73,,Fatal(3),Substantial,,Sikorsky,S-76A,No,2.0,Turbo Shaft,Unknown,3.0,2.0,1.0,0.0,VMC,Standing,Probable Cause
1986-01-21,ATLANTIC OCEAN,ATLANTIC OCEAN,Non-Fatal,Destroyed,,Rockwell,112TC,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Cruise,Probable Cause
1986-01-29,"KEFLAVIK, Iceland",Iceland,Fatal(2),Destroyed,,Cessna,P210N,No,1.0,Reciprocating,Business,2.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause
1986-01-30,SAN JUAN,Puerto Rico,Non-Fatal,Substantial,,Cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause
1986-01-31,LAS PIEDRAS,,Non-Fatal,Substantial,,Aerospatiale,350-B,No,1.0,Turbo Shaft,Executive/corporate,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause
1986-02-10,"DARBY ISLAND, BAHAMAS",Bahamas,Non-Fatal,Substantial,,Piper,PA-32R-300,No,0.0,Unknown,Personal,0.0,0.0,0.0,1.0,VMC,,Factual
1986-03-25,ST. THOMAS,,Non-Fatal,Substantial,,Cessna,150L,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause
1986-03-26,ATLANTIC OCEAN,ATLANTIC OCEAN,Fatal(6),Destroyed,,Piper,PA-31-350,No,2.0,Reciprocating,Personal,6.0,0.0,0.0,0.0,VMC,Unknown,Probable Cause
1986-03-26,GULF OF MEXICO,GULF OF MEXICO,Non-Fatal,Substantial,,Bell,206BIII,No,1.0,Turbo Shaft,Positioning,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause
1986-03-27,SANTO DOMINGO,,Non-Fatal,Substantial,,Cessna,172F,No,1.0,Reciprocating,Unknown,0.0,0.0,1.0,0.0,VMC,,Factual
1986-04-02,"ATHENS, GREECE",Greece,Fatal(4),Substantial,,Boeing,727-231,No,,Unknown,Unknown,4.0,0.0,9.0,95.0,UNK,,Foreign
